"","mouse_tg_1_182.counts","mouse_tg_1_183.counts","mouse_tg_1_184.counts","mouse_tg_1_185.counts","mouse_tg_1_212.counts","avg","Symbol","Name"
"ENSMUSG00000000028",1.98689327933674,2.26275724186282,2.48532916113632,2.48484350162471,2.72406360667295,11.9438867906335,"Cdc45","cell division cycle 45"
"ENSMUSG00000000031",1.62860104863667,2.78257985147995,3.03762453027772,2.73611981077777,1.73349502242824,11.9184202636004,"H19","H19, imprinted maternally expressed transcript"
"ENSMUSG00000000037",0.651440419454669,0.795022814708558,0.788993384487719,0.44671343849433,0.636794089871599,3.31896414701688,"Scml2","sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000056",50.8449247384369,55.5292858273362,52.2708117223114,51.5674825561892,40.4010472574092,250.613552101683,"Narf","nuclear prelamin A recognition factor"
"ENSMUSG00000000058",21.2695296951949,29.3546885430852,26.6285267264605,21.3584862780102,28.7618663925339,127.373097635285,"Cav2","caveolin 2"
"ENSMUSG00000000078",25.8296126313776,29.3852663436509,27.0230234187044,29.5947653002494,29.575547729592,141.408215423574,"Klf6","Kruppel-like factor 6"
"ENSMUSG00000000085",23.5169991423135,24.7068628570967,23.3147545116121,21.1909687385748,22.0401509994448,114.769736249042,"Scmh1","sex comb on midleg homolog 1"
"ENSMUSG00000000088",141.492859105554,137.752991548541,139.296782031307,142.836621958562,150.106517962511,711.485772606474,"Cox5a","cytochrome c oxidase subunit Va"
"ENSMUSG00000000093",2.37775753100954,3.11893565770281,3.39267155329719,2.65236104106008,3.67925474148035,15.22098052455,"Tbx2","T-box 2"
"ENSMUSG00000000094",0.358292230700068,0.458667008485707,0.512845699917018,0.390874258682539,0.636794089871599,2.35747328765693,"Tbx4","T-box 4"
"ENSMUSG00000000120",1.75888913252761,2.10986823903425,2.13028213811684,1.31222072557709,2.5471763594864,9.85843659474219,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125",11.6933555292113,10.5493411951713,11.0853570520525,13.5689206942653,11.603803415438,58.5007778861383,"Wnt3","wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126",2.80119380365508,3.05778005657138,2.8009265149314,2.87571776030725,3.18397044935799,14.7195885848231,"Wnt9a","wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127",15.3414218781575,15.7475672913426,15.7798676897544,13.5689206942653,14.327867022111,74.7656445756307,"Fer","fer (fms/fps related) protein kinase"
"ENSMUSG00000000131",89.6056296959897,85.5872637834329,81.5424662868058,84.1217243864635,81.7572856496258,422.614369802318,"Xpo6","exportin 6"
"ENSMUSG00000000134",33.4514655389972,33.8496252262452,37.2799374170447,35.2624420511462,36.1911307743692,176.034601007803,"Tfe3","transcription factor E3"
"ENSMUSG00000000142",9.70646224987457,11.5584086138398,11.24315572895,10.2744090853696,13.0542788423678,55.8367145204017,"Axin2","axin 2"
"ENSMUSG00000000148",20.2597970450402,19.4169033592282,19.3697875891735,19.9066676029036,17.9363668647167,96.8895224610622,"Brat1","BRCA1-associated ATM activator 1"
"ENSMUSG00000000149",222.304043138906,238.109333005213,224.547517225205,242.174522843739,209.823652612692,1136.95906882575,"Gna12","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154",0.684012440427402,1.07022301979998,0.946792061385263,0.865507287082764,0.813681337058154,4.38021614575357,"Slc22a18","solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000159",0.456008293618268,0.764445014142844,0.473396030692632,0.558391798117913,0.566039190996977,2.81828032756863,"Igsf5","immunoglobulin superfamily, member 5"
