"","moto_1.counts","moto_2.counts","avg","Symbol","Name"
"ENSMUSG00000000028",3.53191404236044,3.45645919261071,6.98837323497116,"Cdc45","cell division cycle 45"
"ENSMUSG00000000049",1.12905448895129,1.17073617814234,2.29979066709363,"Apoh","apolipoprotein H"
"ENSMUSG00000000056",44.3805264503161,43.8468573385214,88.2273837888375,"Narf","nuclear prelamin A recognition factor"
"ENSMUSG00000000058",7.12172831492352,11.2334923759848,18.3552206909083,"Cav2","caveolin 2"
"ENSMUSG00000000078",27.5315594613507,25.2544518427847,52.7860113041354,"Klf6","Kruppel-like factor 6"
"ENSMUSG00000000085",6.3111250920867,6.46692365069102,12.7780487427777,"Scmh1","sex comb on midleg homolog 1"
"ENSMUSG00000000088",153.754061303085,188.349151326376,342.10321262946,"Cox5a","cytochrome c oxidase subunit Va"
"ENSMUSG00000000093",0.868503453039454,1.17073617814234,2.03923963118179,"Tbx2","T-box 2"
"ENSMUSG00000000120",1.24485494935655,1.78397893812166,3.02883388747821,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125",1.96860782688943,3.09408847080475,5.06269629769418,"Wnt3","wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126",5.15312048803409,5.77005687798724,10.9231773660213,"Wnt9a","wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127",9.03243591161032,7.16379042339479,16.1962263350051,"Fer","fer (fms/fps related) protein kinase"
"ENSMUSG00000000131",65.774661510188,74.2859979702222,140.06065948041,"Xpo6","exportin 6"
"ENSMUSG00000000134",42.7014197744398,42.5088731349302,85.21029290937,"Tfe3","transcription factor E3"
"ENSMUSG00000000142",2.02650805709206,2.48084571082543,4.50735376791749,"Axin2","axin 2"
"ENSMUSG00000000148",12.7380506445787,14.7457009104118,27.4837515549905,"Brat1","BRCA1-associated ATM activator 1"
"ENSMUSG00000000149",41.2539140193741,57.9793154889539,99.233229508328,"Gna12","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154",1.96860782688943,3.54008320533517,5.5086910322246,"Slc22a18","solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000167",0.868503453039454,1.19861084905049,2.06711430208994,"Pih1d2","PIH1 domain containing 2"
"ENSMUSG00000000168",183.080527900717,165.268923814427,348.349451715144,"Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171",119.766626174141,128.502232886576,248.268859060716,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000184",1.99755794199074,2.00697630538687,4.00453424737761,"Ccnd2","cyclin D2"
"ENSMUSG00000000194",49.3888963628436,55.6657178035774,105.054614166421,"Gpr107","G protein-coupled receptor 107"
"ENSMUSG00000000197",122.806388259779,116.711247092428,239.517635352207,"Nalcn","sodium leak channel, non-selective"
"ENSMUSG00000000202",8.27973291897612,11.1498683632604,19.4296012822365,"Btbd17","BTB (POZ) domain containing 17"
"ENSMUSG00000000223",21.1625341390614,20.0976377247768,41.2601718638382,"Drp2","dystrophin related protein 2"
"ENSMUSG00000000253",163.510250092228,185.673182919193,349.183433011421,"Gmpr","guanosine monophosphate reductase"
"ENSMUSG00000000263",32.9741811003979,35.5123307369843,68.4865118373822,"Glra1","glycine receptor, alpha 1 subunit"
"ENSMUSG00000000266",15.7199125000141,17.4216693175943,33.1415818176084,"Mid2","midline 2"
"ENSMUSG00000000275",1.21590483425524,1.39373354540755,2.60963837966278,"Trim25","tripartite motif-containing 25"
"ENSMUSG00000000276",108.070779673209,96.1954893040288,204.266268977238,"Dgke","diacylglycerol kinase, epsilon"
"ENSMUSG00000000278",46.8702363490292,46.0768310111735,92.9470673602027,"Scpep1","serine carboxypeptidase 1"
"ENSMUSG00000000282",23.6811941528758,25.0314544755195,48.7126486283953,"Mnt","max binding protein"
