"","mouse_control_1_176.counts","mouse_control_1_177.counts","mouse_control_1_178.counts","mouse_control_1_213.counts","mouse_control_1_225.counts","avg","Symbol","Name"
"ENSMUSG00000000028",2.22408717901955,2.0274180926892,2.38294897508875,2.24462964828925,1.93436258961322,10.8134464847,"Cdc45","cell division cycle 45"
"ENSMUSG00000000031",4.698071793884,3.92812255458532,2.61145093160411,2.57311203584378,11.322469024536,25.1332263404532,"H19","H19, imprinted maternally expressed transcript"
"ENSMUSG00000000037",0.899630769041616,0.658910880123989,0.620219596255976,0.547470645924208,0.618996028676229,3.34522792002202,"Scml2","sex comb on midleg-like 2 (Drosophila)"
"ENSMUSG00000000049",0.424825640936319,0.582882701648144,0.587576459610925,0.62959124281284,0.309498014338115,2.53437405934634,"Apoh","apolipoprotein H"
"ENSMUSG00000000056",53.6529794758986,57.2492183923112,62.8053949050788,39.5821277003203,62.1575178795713,275.44723835318,"Narf","nuclear prelamin A recognition factor"
"ENSMUSG00000000058",23.2654512771596,23.8728480414153,19.716454533611,21.8167052400797,23.1607680729689,111.832227165234,"Cav2","caveolin 2"
"ENSMUSG00000000078",33.6611846083071,39.1545119150601,35.1240150300753,26.6344469242127,32.3683339995278,166.942492477183,"Klf6","Kruppel-like factor 6"
"ENSMUSG00000000085",25.2646307639187,25.1653270755046,23.0134113347612,21.1323669326744,22.9544360634102,117.530172170269,"Scmh1","sex comb on midleg homolog 1"
"ENSMUSG00000000088",137.118723048093,122.937564595441,127.3082329157,153.319154391075,128.0290119312,668.712686881509,"Cox5a","cytochrome c oxidase subunit Va"
"ENSMUSG00000000093",3.09872820447668,2.66098624665457,2.38294897508875,3.83229452146946,3.35289515532957,15.327853103019,"Tbx2","T-box 2"
"ENSMUSG00000000120",2.0991384610971,1.59659174799274,1.33836860244711,2.70997969732483,2.03752859439259,9.78160710325437,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)"
"ENSMUSG00000000125",11.2703743566047,13.4569875902245,12.3717487884745,10.8125452570031,14.7011556810604,62.6128116733673,"Wnt3","wingless-type MMTV integration site family, member 3"
"ENSMUSG00000000126",2.64891281995587,2.33153080659258,2.25237642850854,4.37976516739367,2.99181413860177,14.6043993610524,"Wnt9a","wingless-type MMTV integration site family, member 9A"
"ENSMUSG00000000127",15.6685692274748,17.4357955971271,16.3542114591707,13.2214160990696,13.6694956332667,76.349488016109,"Fer","fer (fms/fps related) protein kinase"
"ENSMUSG00000000131",83.7906102387928,79.0946483410373,81.3140533828229,89.1555946887573,74.5116469519011,407.866553603311,"Xpo6","exportin 6"
"ENSMUSG00000000134",35.7103435822353,34.8462484680956,35.5483758064609,35.5308449204811,35.3859396393244,177.021752416597,"Tfe3","transcription factor E3"
"ENSMUSG00000000142",13.5194512792087,12.1645085561352,10.4458037264164,14.8912015691385,12.2251715663555,63.2461366972543,"Axin2","axin 2"
"ENSMUSG00000000148",21.0663538417245,19.2351291543887,18.3780859311639,18.0391577832027,23.470266087307,100.188992797787,"Brat1","BRCA1-associated ATM activator 1"
"ENSMUSG00000000149",269.339456353626,244.734706513745,260.949234340541,223.504891198558,264.646593760283,1263.17488216675,"Gna12","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000154",0.874641025457127,1.03905177250321,0.457003913030719,1.06756775955221,0.670579031065915,4.10884350160918,"Slc22a18","solute carrier family 22 (organic cation transporter), member 18"
"ENSMUSG00000000159",0.549774358858765,0.557539975489529,0.522290186320822,0.739085371997681,0.747953534650443,3.11664342731724,"Igsf5","immunoglobulin superfamily, member 5"
"ENSMUSG00000000167",1.47439487148487,1.49522084335828,1.92594506205803,1.75190606695747,1.00586854659887,7.65333539045752,"Pih1d2","PIH1 domain containing 2"
"ENSMUSG00000000168",112.029020489266,114.827892224684,109.550366580792,112.861073657276,110.619748624681,559.888101576699,"Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171",114.078179463194,106.211365330755,110.692876363369,114.886715047195,108.969092548211,554.838228752724,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000184",23.2654512771596,24.9118998139185,23.6662740676622,18.1212783800913,26.1783737127655,116.143277251597,"Ccnd2","cyclin D2"
"ENSMUSG00000000194",63.4239692174339,63.6862708365994,64.3722654640413,61.3988329404,62.0027688724023,314.884107330877,"Gpr107","G protein-coupled receptor 107"
"ENSMUSG00000000197",92.7119486984554,109.987431528389,100.018570680437,91.0717419494921,93.9068558504229,487.696548707197,"Nalcn","sodium leak channel, non-selective"
"ENSMUSG00000000202",23.7902358924338,23.2646226136085,21.5771133223789,26.2512174720658,32.5230830066969,127.406272307184,"Btbd17","BTB (POZ) domain containing 17"
"ENSMUSG00000000214",2.04915897392813,2.86372805592349,2.97052543469967,2.1077619868082,2.3470266087307,12.3382010600902,"Th","tyrosine hydroxylase"
"ENSMUSG00000000223",50.6542102457599,50.8375086741816,52.131089222147,40.3212130723179,48.5138137474995,242.457834961906,"Drp2","dystrophin related protein 2"
"ENSMUSG00000000247",0.549774358858765,0.684253606282604,0.620219596255976,0.273735322962104,0.232123510753586,2.36010639511304,"Lhx2","LIM homeobox protein 2"
"ENSMUSG00000000253",62.2994307561319,61.0252845899448,57.5824930418706,68.4064572082298,58.108252191981,307.421917788158,"Gmpr","guanosine monophosphate reductase"
"ENSMUSG00000000263",75.7938922917562,102.663383668549,83.3705709914612,114.284497336678,68.2185206603594,444.330864948804,"Glra1","glycine receptor, alpha 1 subunit"
"ENSMUSG00000000266",25.8643846099465,30.1325014025932,29.6399680737066,26.4428321981393,25.6883351900635,137.768021474449,"Mid2","midline 2"
"ENSMUSG00000000275",8.52150256231086,8.69255507240493,7.14884692526625,7.17186546160713,11.4772180317051,43.0119880532943,"Trim25","tripartite motif-containing 25"
"ENSMUSG00000000276",62.9991435764976,76.0535212020035,67.4080771720311,68.5159513374147,61.4353558461157,336.412049134063,"Dgke","diacylglycerol kinase, epsilon"
"ENSMUSG00000000278",17.9176461500789,17.5625092279202,15.6034193163346,15.5207928119513,18.9051703758198,85.5095378821047,"Scpep1","serine carboxypeptidase 1"
"ENSMUSG00000000282",25.4895384561791,25.9762943125803,21.8709015521844,30.5214885102746,24.4761346339059,128.334357465124,"Mnt","max binding protein"
"ENSMUSG00000000290",6.34739487046029,5.2459443148333,6.59391360230037,6.87075660634881,4.97775973060468,30.0357691245474,"Itgb2","integrin beta 2"
"ENSMUSG00000000295",17.3428820476356,15.2309784213276,14.3303369871775,18.3950137030534,14.7011556810604,80.0003668402546,"Hddc2","HD domain containing 2"
"ENSMUSG00000000296",18.792287175536,18.7536173573751,17.5620075150376,22.637911208966,17.3834718053241,95.1292950622388,"Tpd52l1","tumor protein D52-like 1"
"ENSMUSG00000000301",3.0487487173077,3.14249804366825,2.74202347818431,3.20270327865662,3.0691886421863,15.2051621600032,"Pemt","phosphatidylethanolamine N-methyltransferase"
"ENSMUSG00000000303",8.82137948532474,6.15828245654343,2.90523916140957,7.71933610753134,7.53111834889412,33.1353555597032,"Cdh1","cadherin 1"
"ENSMUSG00000000305",10.4956923054855,10.9987431528389,10.804878229512,10.8125452570031,9.80077045404029,52.9126293988798,"Cdh4","cadherin 4"
"ENSMUSG00000000308",393.138646071186,382.168310471913,360.151726604852,418.9519117935,369.927501637631,1924.33809657908,"Ckmt1","creatine kinase, mitochondrial 1, ubiquitous"
"ENSMUSG00000000317",2.44899487127996,1.64727720030997,1.76272937883277,2.46361790665894,2.81127363023787,11.1338929873195,"Bcl6b","B cell CLL/lymphoma 6, member B"
