"","mouse_1.counts","mouse_2.counts","mouse_3.counts","mouse_4.counts","mouse_5.counts","mouse_6.counts","avg","Symbol","Name"
"ENSMUSG00000000056",10.2518687541718,6.42465749605399,9.74512264521609,9.33029890422194,7.01257900839016,5.42204742746216,48.1865742355162,"Narf","nuclear prelamin A recognition factor"
"ENSMUSG00000000078",654.364143288544,811.56758369965,651.72089690312,383.776013605889,307.540548290177,369.105878624486,3178.07506441187,"Klf6","Kruppel-like factor 6"
"ENSMUSG00000000085",17.2736966679882,25.4561900787045,24.426086630217,28.5306660707613,19.2456335008041,20.4004534458264,135.332726394301,"Scmh1","sex comb on midleg homolog 1"
"ENSMUSG00000000127",9.40924940451388,10.2430860078597,13.2888036071129,5.24347376435613,11.6097141361126,9.01415384815583,58.808480768111,"Fer","fer (fms/fps related) protein kinase"
"ENSMUSG00000000131",23.0315955573176,30.3049881889339,35.7532097048512,30.0728642367484,25.0115317965916,25.8902764661318,170.064465950574,"Xpo6","exportin 6"
"ENSMUSG00000000134",32.4408449618315,38.6085549527018,31.6400085883639,15.3448717515716,15.1160036403077,21.8915164883784,155.041800383155,"Tfe3","transcription factor E3"
"ENSMUSG00000000148",1.40436558276327,0.969759622045885,1.70856046377165,1.23375853278968,1.40251580167803,2.71102371373108,9.42998371677959,"Brat1","BRCA1-associated ATM activator 1"
"ENSMUSG00000000149",2.94916772380286,3.27293872440486,4.30304116801749,3.16150624027355,4.05171231595876,3.86320879206679,21.6015749645243,"Gna12","guanine nucleotide binding protein, alpha 12"
"ENSMUSG00000000168",6.60051823898735,5.57611782676384,3.67024099625022,3.39283596517161,4.67505267226011,5.42204742746216,29.3368131268953,"Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)"
"ENSMUSG00000000171",1.26392902448694,3.5759886062942,1.1390403091811,1.77352789088516,1.55835089075337,6.70978369148442,16.0206204130852,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein"
"ENSMUSG00000000184",6.74095479726368,1.45463943306883,1.5820004294182,2.00485761578323,0.389587722688342,3.72765760638023,15.8996976046025,"Ccnd2","cyclin D2"
"ENSMUSG00000000194",13.5521278736655,16.48591357478,17.2754446892467,17.812388817151,15.8172615411467,14.5717524613045,95.5148889572945,"Gpr107","G protein-coupled receptor 107"
"ENSMUSG00000000197",0.280873116552653,0.666709740156546,0.189840051530184,1.38797834938839,0.857092989914353,0.609980335589492,3.99247458313162,"Nalcn","sodium leak channel, non-selective"
"ENSMUSG00000000223",0.84261934965796,2.12134917322537,0.126560034353456,2.69884679047742,0.467505267226011,0.271102371373108,6.52798298631333,"Drp2","dystrophin related protein 2"
"ENSMUSG00000000244",0.983055907934286,0.909149645668017,1.07576029200437,0.848208991292903,1.01292807898969,1.28773626402226,6.11683917991153,"Tspan32","tetraspanin 32"
"ENSMUSG00000000253",0.21065483741449,0.606099763778678,0.696080188944006,0.0771099082993549,0.701257900839016,1.15218507833571,3.44338767761125,"Gmpr","guanosine monophosphate reductase"
"ENSMUSG00000000263",0.772401070519796,0.909149645668017,2.15152058400875,3.00728642367484,0.0779175445376685,0.542204742746216,7.46048001115528,"Glra1","glycine receptor, alpha 1 subunit"
"ENSMUSG00000000275",44.0268610196284,47.215171598359,39.296890666748,22.2076535902142,16.1289317192974,32.3289577862431,201.20446638049,"Trim25","tripartite motif-containing 25"
"ENSMUSG00000000276",1.82567525759225,0.363659858267207,1.07576029200437,2.62173688217806,1.16876316806503,4.06653557059662,11.1221310287035,"Dgke","diacylglycerol kinase, epsilon"
"ENSMUSG00000000278",12.2179805700404,8.18234681101215,10.7576029200437,8.25076018803097,7.09049655292783,17.2827761750356,63.7819632170907,"Scpep1","serine carboxypeptidase 1"
"ENSMUSG00000000282",11.9371074534878,7.45502709447774,11.5169631261645,7.86521064653419,5.06464039494845,11.250748411984,55.0896971275966,"Mnt","max binding protein"
"ENSMUSG00000000290",58.2811716846755,97.4002320392336,130.293555366883,62.3048059058787,93.7348060788152,73.0620890850525,515.076660160538,"Itgb2","integrin beta 2"
"ENSMUSG00000000308",1.47458386190143,0.727319716534414,0.632800171767279,3.62416569006968,0.623340356301348,0.271102371373108,7.35331216794726,"Ckmt1","creatine kinase, mitochondrial 1, ubiquitous"
"ENSMUSG00000000320",0.491527953967143,0.242439905511471,1.26560034353456,0.616879266394839,1.63626843529104,0.406653557059662,4.65936946175871,"Alox12","arachidonate 12-lipoxygenase"
"ENSMUSG00000000325",2.66829460725021,3.27293872440486,2.40464065271566,1.61930807428645,1.55835089075337,0.745531521276046,12.2690644706866,"Arvcf","armadillo repeat gene deleted in velocardiofacial syndrome"
"ENSMUSG00000000326",5.19615265622409,6.72770737794333,10.694322902867,6.55434220544516,6.23340356301348,4.81206709187266,40.2179957973657,"Comt","catechol-O-methyltransferase"
"ENSMUSG00000000339",1.75545697845408,3.03049881889339,1.70856046377165,0.925318899592258,1.40251580167803,0.8810827069626,9.70343366935202,"Rtca","RNA 3'-terminal phosphate cyclase"
